Age,Gender,AnnualIncome,SpendingScore,PurchaseHistory,MembershipDuration,FeedbackScore,ChurnIndicator,Age_Standardized,AnnualIncome_Standardized,SpendingScore_Standardized,PurchaseHistory_Standardized,MembershipDuration_Standardized,FeedbackScore_Standardized,Age_Normalized,AnnualIncome_Normalized,SpendingScore_Normalized,PurchaseHistory_Normalized,MembershipDuration_Normalized,FeedbackScore_Normalized
55,Female,60161,31,5,4,5,0,0.7558290882947637,-0.5644295532166835,-0.665593555463756,-0.889827458067028,-0.4029115009251256,0.03140275943899218,0.7254901960784313,0.33396821153696216,0.3061224489795918,0.22222222222222224,0.375,0.5
49,Female,30713,27,11,7,7,0,0.34782418233267814,-1.7176841774989156,-0.8033263139663439,0.23511243835146495,0.7460756690134459,0.8264093275147462,0.607843137254902,0.0059700827569307835,0.26530612244897955,0.5555555555555555,0.75,0.75
49,Female,50036,67,15,4,8,0,0.34782418233267814,-0.9609489457342603,0.5740012710595351,0.9850723692971269,-0.4029115009251256,1.223912611552623,0.607843137254902,0.2211937937871042,0.673469387755102,0.7777777777777777,0.375,0.875
54,Female,89400,37,7,1,7,0,0.6878282706344161,0.5806401275558031,-0.4589944177098741,-0.514847492594197,-1.551898670863697,0.8264093275147462,0.7058823529411765,0.6596384535703546,0.36734693877551017,0.33333333333333326,0.0,0.75
23,Male,55088,5,4,1,6,0,-1.4201970768363597,-0.763100454771416,-1.5608564857305773,-1.0773174408034436,-1.551898670863697,0.42890604347686917,0.09803921568627455,0.27746405141399627,0.04081632653061224,0.16666666666666666,0.0,0.625
37,Female,96670,37,14,8,5,0,-0.4681856295914931,0.8653508419857076,-0.4589944177098741,0.7975823865607115,1.1290713923263032,0.03140275943899218,0.37254901960784315,0.7406132700682773,0.36734693877551017,0.7222222222222221,0.875,0.5
18,Male,72804,39,16,7,6,1,-1.7602011651380975,-0.06929921449078494,-0.3901280384585802,1.1725623520335424,0.7460756690134459,0.42890604347686917,0.0,0.4747886523874762,0.38775510204081626,0.8333333333333333,0.75,0.625
46,Male,59451,46,16,7,5,0,0.1438217293516353,-0.5922348637043358,-0.14909571107905134,1.1725623520335424,0.7460756690134459,0.03140275943899218,0.5490196078431373,0.32606007952684873,0.4591836734693877,0.8333333333333333,0.75,0.5
27,Male,86579,40,7,8,4,0,-1.1481938061949692,0.47016297137880714,-0.3556948488329332,-0.514847492594197,1.1290713923263032,-0.3661005245988848,0.17647058823529416,0.6282175515977768,0.39795918367346933,0.33333333333333326,0.875,0.375
45,Female,59645,77,10,6,2,0,0.07582091169128771,-0.5846373563316534,0.9183331673160049,0.04762245561504946,0.36307994570058877,-1.1611070926746387,0.5294117647058824,0.32822089306200647,0.7755102040816326,0.5,0.625,0.125
46,Female,119707,93,4,3,1,0,0.1438217293516353,1.7675352612871806,1.4692642013263564,-1.0773174408034436,-0.7859072242379828,-1.558610376712516,0.5490196078431373,0.9972043082612134,0.9387755102040816,0.16666666666666666,0.25,0.0
37,Male,101033,70,12,3,5,0,-0.4681856295914931,1.0362164330527879,0.677300839936476,0.42260242108788043,-0.7859072242379828,0.03140275943899218,0.37254901960784315,0.7892092981811296,0.7040816326530611,0.611111111111111,0.25,0.5
32,Female,72907,15,18,7,5,0,-0.8081897178932311,-0.06526548634961848,-1.2165245894741075,1.5475423175063734,0.7460756690134459,0.03140275943899218,0.27450980392156865,0.4759358884396477,0.14285714285714282,0.9444444444444444,0.75,0.5
63,Male,90039,8,7,4,6,1,1.2998356295775446,0.6056649069946901,-1.4575569168536364,-0.514847492594197,-0.4029115009251256,0.42890604347686917,0.8823529411764707,0.6667557723794566,0.07142857142857142,0.33333333333333326,0.375,0.625
60,Female,34799,15,9,2,3,1,1.0958331765965017,-1.5576665737629336,-1.2165245894741075,-0.13986752712136605,-1.16890294755084,-0.7636038086367618,0.823529411764706,0.05148082556442901,0.14285714285714282,0.4444444444444444,0.125,0.25
50,Female,97550,69,10,9,8,1,0.41582499999302575,0.8998137620267415,0.642867650310829,0.04762245561504946,1.5120671156391603,1.223912611552623,0.6274509803921569,0.7504148984751784,0.693877551020408,0.5,1.0,0.875
38,Female,64879,45,15,8,8,0,-0.4001848119311455,-0.3796613069057771,-0.18352890070469832,0.9850723692971269,1.1290713923263032,1.223912611552623,0.3921568627450981,0.3865183056548714,0.44897959183673464,0.7777777777777777,0.875,0.875
34,Male,67871,21,14,9,8,0,-0.6721880825725359,-0.2624873787662621,-1.0099254517202256,0.7975823865607115,1.5120671156391603,1.223912611552623,0.3137254901960784,0.41984384223833554,0.2040816326530612,0.7222222222222221,1.0,0.875
42,Female,32363,90,7,9,8,0,-0.1281815412897551,-1.653066202421977,1.3659646324494155,-0.514847492594197,1.5120671156391603,1.223912611552623,0.47058823529411764,0.02434813601987057,0.9081632653061223,0.33333333333333326,1.0,0.875
41,Male,52039,61,6,7,4,1,-0.1961823589501027,-0.8825066402317707,0.3674021333056533,-0.7023374753306125,0.7460756690134459,-0.3661005245988848,0.4509803921568628,0.24350363662690327,0.6122448979591836,0.2777777777777778,0.75,0.375
68,Male,87752,74,7,9,1,0,1.6398397178792825,0.5161004772971397,0.815033598439064,-0.514847492594197,1.5120671156391603,-1.558610376712516,0.9803921568627451,0.6412826767356123,0.7448979591836734,0.33333333333333326,1.0,0.0
35,Male,87355,31,4,3,3,0,-0.6041872649121883,0.5005530008695369,-0.665593555463756,-1.0773174408034436,-0.7859072242379828,-0.7636038086367618,0.33333333333333337,0.636860805738408,0.3061224489795918,0.16666666666666666,0.25,0.25
51,Female,78548,36,13,3,3,0,0.48382581765337335,0.15564966359523588,-0.4934276073355211,0.610092403824296,-0.7859072242379828,-0.7636038086367618,0.6470588235294118,0.5387665541707043,0.3571428571428571,0.6666666666666666,0.25,0.25
55,Female,44208,20,3,9,8,0,0.7558290882947637,-1.1891874661878343,-1.0443586413458728,-1.264807423539859,1.5120671156391603,1.223912611552623,0.7254901960784313,0.156280282019581,0.19387755102040813,0.1111111111111111,1.0,0.875
20,Male,92238,13,18,7,1,0,-1.6241995298174023,0.6917830446881372,-1.2853909687254015,1.5475423175063734,0.7460756690134459,-1.558610376712516,0.03921568627450983,0.6912487051826111,0.12244897959183672,0.9444444444444444,0.75,0.0
28,Male,90184,37,13,4,3,0,-1.0801929885346215,0.6113434563196333,-0.4589944177098741,0.610092403824296,-0.4029115009251256,-0.7636038086367618,0.1960784313725491,0.6683708134237756,0.36734693877551017,0.6666666666666666,0.375,0.25
28,Male,86526,33,4,4,3,0,-1.0801929885346215,0.4680873636945176,-0.596727176212462,-1.0773174408034436,-0.4029115009251256,-0.7636038086367618,0.1960784313725491,0.6276272262505431,0.32653061224489793,0.16666666666666666,0.375,0.25
58,Female,108412,21,16,5,8,0,0.9598315412758065,1.325195850078684,-1.0099254517202256,1.1725623520335424,-0.019915777612268423,1.223912611552623,0.7843137254901961,0.8713981800158164,0.2040816326530612,0.8333333333333333,0.5,0.875
29,Male,70436,16,15,8,2,0,-1.0121921708742738,-0.16203579932847598,-1.1820913998484606,0.9850723692971269,1.1290713923263032,-1.1611070926746387,0.21568627450980393,0.44841336140163285,0.1530612244897959,0.7777777777777777,0.875,0.125
43,Male,30482,77,3,7,9,1,-0.06018072362940749,-1.726730694009687,0.9183331673160049,-1.264807423539859,0.7460756690134459,1.6214158955905003,0.4901960784313726,0.0033971553001191923,0.7755102040816326,0.1111111111111111,0.75,1.0
65,Female,114474,76,5,6,7,1,1.4358372648982398,1.5625983742704421,0.8838999776903579,-0.889827458067028,0.36307994570058877,0.8264093275147462,0.9215686274509803,0.9389180338824472,0.7653061224489796,0.22222222222222224,0.625,0.75
31,Female,31673,76,11,7,3,0,-0.8761905355535787,-1.6800882647268787,0.8838999776903579,0.23511243835146495,0.7460756690134459,-0.7636038086367618,0.2549019607843137,0.016662768291732133,0.7653061224489796,0.5555555555555555,0.75,0.25
55,Female,46033,32,1,7,7,0,0.7558290882947637,-1.1177160695118267,-0.631160365838109,-1.63978738901269,0.7460756690134459,0.8264093275147462,0.7254901960784313,0.17660752274980235,0.31632653061224486,0.0,0.75,0.75
31,Male,101135,84,13,2,1,0,-0.8761905355535787,1.0402109987848167,1.1593654946955336,0.610092403824296,-1.16890294755084,-1.558610376712516,0.2549019607843137,0.7903453960192022,0.846938775510204,0.6666666666666666,0.125,0.0
25,Male,109173,83,12,5,5,0,-1.2841954415156644,1.3549984434323508,1.1249323050698867,0.42260242108788043,-0.019915777612268423,0.03140275943899218,0.13725490196078433,0.8798743609449662,0.836734693877551,0.611111111111111,0.5,0.5
22,Male,69424,62,10,1,4,1,-1.4881978944967071,-0.20166815737566487,0.40183532293130025,0.04762245561504946,-1.551898670863697,-0.3661005245988848,0.07843137254901966,0.43714148873369646,0.6224489795918366,0.5,0.0,0.375
44,Female,96373,1,13,8,9,0,0.00782009403094011,0.8537196064718586,-1.6985892442331652,0.610092403824296,1.1290713923263032,1.6214158955905003,0.5098039215686275,0.737305220480948,0.0,0.6666666666666666,0.875,1.0
41,Male,103458,78,7,8,9,1,-0.1961823589501027,1.1311852752113185,0.9527663569416518,-0.514847492594197,1.1290713923263032,1.6214158955905003,0.4509803921568628,0.8162194673706018,0.7857142857142856,0.33333333333333326,0.875,1.0
39,Female,56933,3,8,8,2,0,-0.3321839942707979,-0.6908458099126575,-1.6297228649818714,-0.32735750985778156,1.1290713923263032,-1.1611070926746387,0.4117647058823529,0.29801405642619266,0.020408163265306124,0.38888888888888884,0.875,0.125
53,Female,91972,92,10,6,8,0,0.6198274529740685,0.681365843857552,1.4348310117007095,0.04762245561504946,0.36307994570058877,1.223912611552623,0.6862745098039217,0.6882859402323431,0.9285714285714285,0.5,0.625,0.875
57,Male,48377,92,13,7,1,1,0.8918307236154589,-1.0259193824934365,1.4348310117007095,0.610092403824296,0.7460756690134459,-1.558610376712516,0.7647058823529412,0.20271549659727567,0.9285714285714285,0.6666666666666666,0.75,0.0
25,Male,80276,9,6,6,4,1,-1.2841954415156644,0.22332230658490232,-1.4231237272279893,-0.7023374753306125,0.36307994570058877,-0.3661005245988848,0.13725490196078433,0.5580133881333467,0.08163265306122448,0.2777777777777778,0.625,0.375
36,Male,35719,92,11,4,7,0,-0.5361864472518407,-1.521637157356398,1.4348310117007095,0.23511243835146495,-0.4029115009251256,0.8264093275147462,0.3529411764705882,0.061727982535280335,0.9285714285714285,0.5555555555555555,0.375,0.75
45,Male,64647,75,18,3,1,0,0.07582091169128771,-0.388746985825686,0.8494667880647109,1.5475423175063734,-0.7859072242379828,-1.558610376712516,0.5294117647058824,0.383934239983961,0.7551020408163265,0.9444444444444444,0.25,0.0
66,Male,91666,50,11,9,2,0,1.5038380825585873,0.6693821466614652,-0.011362952576463444,0.23511243835146495,1.5120671156391603,-1.1611070926746387,0.9411764705882354,0.6848776467181252,0.5,0.5555555555555555,1.0,0.125
32,Male,30763,91,9,3,3,0,-0.8081897178932311,-1.7157260570420387,1.4003978220750626,-0.13986752712136605,-0.7859072242379828,-0.7636038086367618,0.27450980392156865,0.006526993461868358,0.9183673469387754,0.4444444444444444,0.25,0.25
64,Female,118071,69,5,1,8,0,1.367836447237892,1.7034655599381678,0.642867650310829,-0.889827458067028,-1.551898670863697,1.223912611552623,0.9019607843137255,0.9789821899956561,0.693877551020408,0.22222222222222224,0.0,0.875
58,Male,80059,62,13,5,2,0,0.9598315412758065,0.2148240638020565,0.40183532293130025,0.610092403824296,-0.019915777612268423,-1.1611070926746387,0.7843137254901961,0.5555963956739176,0.6224489795918366,0.6666666666666666,0.5,0.125
49,Female,106825,13,4,5,6,0,0.34782418233267814,1.2630451067774104,-1.2853909687254015,-1.0773174408034436,-0.019915777612268423,0.42890604347686917,0.607843137254902,0.8537218342410977,0.12244897959183672,0.16666666666666666,0.5,0.625
57,Female,102596,16,3,7,5,1,0.8918307236154589,1.0974272785347603,-1.1820913998484606,-1.264807423539859,0.7460756690134459,0.03140275943899218,0.7647058823529412,0.806618326817478,0.1530612244897959,0.1111111111111111,0.75,0.5
63,Male,52168,67,7,2,4,0,1.2998356295775446,-0.8774546894530283,0.5740012710595351,-0.514847492594197,-1.16890294755084,-0.3661005245988848,0.8823529411764707,0.2449404662456422,0.673469387755102,0.33333333333333326,0.125,0.375
44,Male,30642,33,6,4,6,0,0.00782009403094011,-1.7204647085476807,-0.596727176212462,-0.7023374753306125,-0.4029115009251256,0.42890604347686917,0.5098039215686275,0.005179269555919408,0.32653061224489793,0.2777777777777778,0.375,0.625
52,Male,33637,99,17,5,5,0,0.5518266353137209,-1.6031732931807532,1.6758633390802382,1.360052334769958,-0.019915777612268423,0.03140275943899218,0.6666666666666666,0.0385382207816799,0.9999999999999999,0.8888888888888888,0.5,0.5
28,Female,105734,46,14,5,5,0,-1.0801929885346215,1.220318918408356,-0.14909571107905134,0.7975823865607115,-0.019915777612268423,0.03140275943899218,0.1960784313725491,0.84157004265936,0.4591836734693877,0.7222222222222221,0.5,0.5
54,Female,34201,93,4,3,8,0,0.6878282706344161,-1.5810856944271816,1.4692642013263564,-1.0773174408034436,-0.7859072242379828,1.223912611552623,0.7058823529411765,0.044820173533375696,0.9387755102040816,0.16666666666666666,0.25,0.875
37,Female,73327,30,15,4,7,0,-0.4681856295914931,-0.04881727451185233,-0.700026745089403,0.9850723692971269,-0.4029115009251256,0.8264093275147462,0.37254901960784315,0.48061393836112326,0.2959183673469387,0.7777777777777777,0.375,0.75
42,Male,58766,97,6,4,4,1,-0.1281815412897551,-0.6190611139635496,1.6069969598289444,-0.7023374753306125,-0.4029115009251256,-0.3661005245988848,0.47058823529411764,0.31843040286920393,0.9795918367346937,0.2777777777777778,0.375,0.375
22,Male,45822,15,17,5,5,0,-1.4881978944967071,-1.1259793378398473,-1.2165245894741075,1.360052334769958,-0.019915777612268423,0.03140275943899218,0.07843137254901966,0.17425735957496574,0.14285714285714282,0.8888888888888888,0.5,0.5
19,Male,53537,14,4,4,4,1,-1.69220034747775,-0.8238413513437381,-1.2509577790997546,-1.0773174408034436,-0.4029115009251256,-0.3661005245988848,0.019607843137254943,0.2601886813468329,0.13265306122448978,0.16666666666666666,0.375,0.375
28,Male,67650,92,14,3,9,0,-1.0801929885346215,-0.2711422711856581,1.4348310117007095,0.7975823865607115,-0.7859072242379828,1.6214158955905003,0.1960784313725491,0.41738229692251144,0.9285714285714285,0.7222222222222221,0.25,1.0
64,Male,92376,57,19,2,2,0,1.367836447237892,0.6971874571491175,0.22966937480306537,1.735032300242789,-1.16890294755084,-1.1611070926746387,0.9019607843137255,0.6927857787282388,0.5714285714285714,1.0,0.125,0.125
34,Male,75858,5,18,7,4,1,-0.6721880825725359,0.05030278301525747,-1.5608564857305773,1.5475423175063734,0.7460756690134459,-0.3661005245988848,0.3137254901960784,0.508804758245063,0.04081632653061224,0.9444444444444444,0.75,0.375
57,Male,96636,66,14,7,6,0,0.8918307236154589,0.8640193200750312,0.5395680814338881,0.7975823865607115,0.7460756690134459,0.42890604347686917,0.7647058823529412,0.7402345707889197,0.6632653061224489,0.7222222222222221,0.75,0.625
25,Female,61487,94,6,8,3,0,-1.2841954415156644,-0.5125001987003075,1.5036973909520035,-0.7023374753306125,1.1290713923263032,-0.7636038086367618,0.13725490196078433,0.3487374834319065,0.9489795918367346,0.2777777777777778,0.875,0.25
44,Female,32121,87,11,9,6,0,0.00782009403094011,-1.6625435054332616,1.2626650635724745,0.23511243835146495,1.5120671156391603,0.42890604347686917,0.5098039215686275,0.021652688207972726,0.8775510204081631,0.5555555555555555,1.0,0.625
48,Male,104263,24,1,6,9,0,0.27982336467233054,1.162711014567037,-0.9066258828432848,-1.63978738901269,0.36307994570058877,1.6214158955905003,0.5882352941176471,0.8251857297200966,0.2346938775510204,0.0,0.625,1.0
28,Male,98225,89,9,6,7,0,-1.0801929885346215,0.9262483881945799,1.3315314428237686,-0.13986752712136605,0.36307994570058877,0.8264093275147462,0.1960784313725491,0.7579331929918356,0.8979591836734693,0.4444444444444444,0.625,0.75
56,Female,36226,86,6,8,4,0,0.8238299059551113,-1.5017818159236662,1.2282318739468276,-0.7023374753306125,1.1290713923263032,-0.3661005245988848,0.7450980392156864,0.06737505708334729,0.8673469387755102,0.2777777777777778,0.875,0.375
31,Female,101883,87,18,4,8,0,-0.8761905355535787,1.0695044808196954,1.2626650635724745,1.5475423175063734,-0.4029115009251256,1.223912611552623,0.2549019607843137,0.7986767801650683,0.8775510204081631,0.9444444444444444,0.375,0.875
37,Male,58261,48,1,3,8,0,-0.4681856295914931,-0.6388381305780065,-0.08022933182775739,-1.63978738901269,-0.7859072242379828,1.223912611552623,0.37254901960784315,0.31280560474933455,0.47959183673469385,0.0,0.25,0.875
41,Male,41386,24,14,7,9,0,-0.1961823589501027,-1.2997037847739679,-0.9066258828432848,0.7975823865607115,0.7460756690134459,1.6214158955905003,0.4509803921568628,0.12484824183290455,0.2346938775510204,0.7222222222222221,0.75,1.0
63,Female,65847,88,2,4,6,1,1.2998356295775446,-0.3417520948606399,1.2970982531981217,-1.4522974062762746,-0.4029115009251256,0.42890604347686917,0.8823529411764707,0.39730009690246265,0.8877551020408162,0.05555555555555555,0.375,0.625
22,Female,67680,4,15,2,8,1,-1.4881978944967071,-0.26996739891153193,-1.5952896753562242,0.9850723692971269,-1.16890294755084,1.223912611552623,0.07843137254901966,0.41771644334547403,0.030612244897959183,0.7777777777777777,0.125,0.875
23,Male,105950,11,14,8,2,0,-1.4201970768363597,1.2287779987820644,-1.3542573479766955,0.7975823865607115,1.1290713923263032,-1.1611070926746387,0.09803921568627455,0.8439758969046902,0.1020408163265306,0.7222222222222221,0.875,0.125
61,Male,68642,37,14,6,1,0,1.1638339942568494,-0.23229316132121994,-0.4589944177098741,0.7975823865607115,0.36307994570058877,-1.558610376712516,0.8431372549019608,0.42843140530847285,0.36734693877551017,0.7222222222222221,0.625,0.0
43,Female,67341,6,11,3,2,1,-0.06018072362940749,-0.2832434556091575,-1.5264232961049304,0.23511243835146495,-0.7859072242379828,-1.1611070926746387,0.4901960784313726,0.4139405887659973,0.05102040816326531,0.5555555555555555,0.25,0.125
36,Male,40839,22,18,8,4,1,-0.5361864472518407,-1.3211256225722012,-0.9754922620945787,1.5475423175063734,1.1290713923263032,-0.3661005245988848,0.3529411764705882,0.11875563872088751,0.21428571428571425,0.9444444444444444,0.875,0.375
49,Male,40589,65,9,3,5,0,0.34782418233267814,-1.330916224856586,0.5051348918082412,-0.13986752712136605,-0.7859072242379828,0.03140275943899218,0.607843137254902,0.11597108519619964,0.6530612244897959,0.4444444444444444,0.25,0.5
46,Female,87487,63,15,9,6,1,0.1438217293516353,0.505722438875692,0.4362685125569472,0.9850723692971269,1.5120671156391603,0.42890604347686917,0.5490196078431373,0.6383310499994432,0.6326530612244897,0.7777777777777777,1.0,0.625
58,Male,42640,73,14,8,4,1,0.9598315412758065,-1.2505941237154945,0.780600408813417,0.7975823865607115,1.1290713923263032,-0.3661005245988848,0.7843137254901961,0.13881556231273878,0.7346938775510203,0.7222222222222221,0.875,0.375
55,Female,77320,39,14,6,1,0,0.7558290882947637,0.10755822517433868,-0.3901280384585802,0.7975823865607115,0.36307994570058877,-1.558610376712516,0.7254901960784313,0.5250888272574377,0.38775510204081626,0.7222222222222221,0.625,0.0
68,Female,57353,64,13,7,9,0,1.6398397178792825,-0.6743975980748914,0.4707017021825942,0.610092403824296,0.7460756690134459,1.6214158955905003,0.9803921568627451,0.30269210634766824,0.6428571428571428,0.6666666666666666,0.75,1.0
29,Male,89898,17,9,9,7,0,-1.0121921708742738,0.6001430073062972,-1.1476582102228137,-0.13986752712136605,1.5120671156391603,0.8264093275147462,0.21568627450980393,0.6651852841915327,0.16326530612244897,0.4444444444444444,1.0,0.75
61,Male,101672,92,3,3,7,0,1.1638339942568494,1.0612412124916748,1.4348310117007095,-1.264807423539859,-0.7859072242379828,0.8264093275147462,0.8431372549019608,0.7963266169902319,0.9285714285714285,0.1111111111111111,0.25,0.75
43,Female,98409,23,10,3,9,1,-0.06018072362940749,0.9334542714758869,-0.9410590724689317,0.04762245561504946,-0.7859072242379828,1.6214158955905003,0.4901960784313726,0.759982624386006,0.22448979591836732,0.5,0.25,1.0
35,Female,32547,68,7,7,3,1,-0.6041872649121883,-1.64586031914067,0.6084344606851821,-0.514847492594197,0.7460756690134459,-0.7636038086367618,0.33333333333333337,0.026397567414040868,0.6836734693877551,0.33333333333333326,0.75,0.25
57,Female,38826,31,13,7,2,1,0.8918307236154589,-1.3999595521660662,-0.665593555463756,0.610092403824296,0.7460756690134459,-1.1611070926746387,0.7647058823529412,0.09633441374010093,0.3061224489795918,0.6666666666666666,0.75,0.125
22,Male,38026,88,16,3,7,0,-1.4881978944967071,-1.4312894794760969,1.2970982531981217,1.1725623520335424,-0.7859072242379828,0.8264093275147462,0.07843137254901966,0.0874238424610998,0.8877551020408162,0.8333333333333333,0.25,0.75
32,Female,47158,66,3,1,6,0,-0.8081897178932311,-1.0736583592320958,0.5395680814338881,-1.264807423539859,-1.551898670863697,0.42890604347686917,0.27450980392156865,0.1891380136108976,0.6632653061224489,0.1111111111111111,0.0,0.625
31,Female,43464,50,8,1,4,1,-0.8761905355535787,-1.2183242985861629,-0.011362952576463444,-0.32735750985778156,-1.551898670863697,-0.3661005245988848,0.2549019607843137,0.14799345073010994,0.5,0.38888888888888884,0.0,0.375
21,Female,93749,61,16,2,8,0,-1.5561987121570549,0.7509574448949577,0.3674021333056533,1.1725623520335424,-1.16890294755084,1.223912611552623,0.05882352941176472,0.7080785466858244,0.6122448979591836,0.8333333333333333,0.125,0.875
42,Male,85680,73,17,4,7,0,-0.1281815412897551,0.43495596556416005,0.780600408813417,1.360052334769958,-0.4029115009251256,0.8264093275147462,0.47058823529411764,0.6182042971229993,0.7346938775510203,0.8888888888888888,0.375,0.75
39,Male,43747,83,9,2,5,0,-0.3321839942707979,-1.2072413368002395,1.1249323050698867,-0.13986752712136605,-1.16890294755084,0.03140275943899218,0.4117647058823529,0.15114556532005663,0.836734693877551,0.4444444444444444,0.125,0.5
22,Male,66836,24,14,7,7,0,-1.4881978944967071,-0.3030204722236144,-0.9066258828432848,0.7975823865607115,0.7460756690134459,0.8264093275147462,0.07843137254901966,0.40831579064612783,0.2346938775510204,0.7222222222222221,0.75,0.75
50,Male,91032,60,10,5,3,1,0.41582499999302575,0.6445531792682658,0.3329689436800063,0.04762245561504946,-0.019915777612268423,-0.7636038086367618,0.6274509803921569,0.6778160189795168,0.6020408163265305,0.5,0.5,0.25
60,Male,84352,46,11,5,8,0,1.0958331765965017,0.382948286229509,-0.14909571107905134,0.23511243835146495,-0.019915777612268423,1.223912611552623,0.823529411764706,0.6034127487998575,0.4591836734693877,0.5555555555555555,0.5,0.875
61,Female,101380,16,3,7,3,0,1.1638339942568494,1.0498057890235137,-1.1820913998484606,-1.264807423539859,0.7460756690134459,-0.7636038086367618,0.8431372549019608,0.7930742584733963,0.1530612244897959,0.1111111111111111,0.75,0.25
26,Male,90394,37,11,3,5,0,-1.2161946238553167,0.6195675622385163,-0.4589944177098741,0.23511243835146495,-0.7859072242379828,0.03140275943899218,0.1568627450980392,0.6707098383845134,0.36734693877551017,0.5555555555555555,0.25,0.5
27,Female,78109,78,16,6,7,0,-1.1481938061949692,0.1384573659838565,0.9527663569416518,1.1725623520335424,0.36307994570058877,0.8264093275147462,0.17647058823529416,0.5338768781813525,0.7857142857142856,0.8333333333333333,0.625,0.75
41,Male,59389,22,1,4,4,1,-0.1961823589501027,-0.5946629330708632,-0.9754922620945787,-1.63978738901269,-0.4029115009251256,-0.3661005245988848,0.4509803921568628,0.32536951025272615,0.21428571428571425,0.0,0.375,0.375
36,Male,55908,7,2,1,2,1,-0.5361864472518407,-0.7309872792786345,-1.4919901064792833,-1.4522974062762746,-1.551898670863697,-1.1611070926746387,0.3529411764705882,0.28659738697497245,0.061224489795918366,0.05555555555555555,0.0,0.125
40,Male,98190,41,6,1,5,0,-0.2641831766104503,0.924877703874766,-0.3212616592072862,-0.7023374753306125,-1.551898670863697,0.03140275943899218,0.43137254901960786,0.7575433554983795,0.4081632653061224,0.2777777777777778,0.0,0.5
52,Male,117254,27,3,5,3,0,0.5518266353137209,1.671469871672799,-0.8033263139663439,-1.264807423539859,-0.019915777612268423,-0.7636038086367618,0.6666666666666666,0.9698822690769762,0.26530612244897955,0.1111111111111111,0.5,0.25
